1,1,0.01639344262295082,BoulwareNegotiationParty@6,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
26,1,0.4262295081967213,BoulwareNegotiationParty@6,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
26,2,0.4262295081967213,RandomParty2@7,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 17])
27,1,0.4426229508196721,BoulwareNegotiationParty@6,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
27,2,0.4426229508196721,RandomParty2@7,(Offer  bid:Bid[price: 1400, HardDisk: 1TB, Monitor: 17])
28,1,0.45901639344262296,BoulwareNegotiationParty@6,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
28,2,0.45901639344262296,RandomParty2@7,(Offer  bid:Bid[price: 1400, HardDisk: 1TB, Monitor: 17])
29,1,0.47540983606557374,BoulwareNegotiationParty@6,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
29,2,0.47540983606557374,RandomParty2@7,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
30,1,0.4918032786885246,BoulwareNegotiationParty@6,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
30,2,0.4918032786885246,RandomParty2@7,(Offer  bid:Bid[price: 1400, HardDisk: 512GB, Monitor: 17])
31,1,0.5081967213114754,BoulwareNegotiationParty@6,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
31,2,0.5081967213114754,RandomParty2@7,(Offer  bid:Bid[price: 1000, HardDisk: 512GB, Monitor: 15])
32,1,0.5245901639344263,BoulwareNegotiationParty@6,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
32,2,0.5245901639344263,RandomParty2@7,(Offer  bid:Bid[price: 1200, HardDisk: 1TB, Monitor: 17])
33,1,0.5409836065573771,BoulwareNegotiationParty@6,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
33,2,0.5409836065573771,RandomParty2@7,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 17])
34,1,0.5573770491803278,BoulwareNegotiationParty@6,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
34,2,0.5573770491803278,RandomParty2@7,(Offer  bid:Bid[price: 1000, HardDisk: 512GB, Monitor: 17])
35,1,0.5737704918032787,BoulwareNegotiationParty@6,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
35,2,0.5737704918032787,RandomParty2@7,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 17])
36,1,0.5901639344262295,BoulwareNegotiationParty@6,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
36,2,0.5901639344262295,RandomParty2@7,(Offer  bid:Bid[price: 1000, HardDisk: 512GB, Monitor: 17])
37,1,0.6065573770491803,BoulwareNegotiationParty@6,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
37,2,0.6065573770491803,RandomParty2@7,(Offer  bid:Bid[price: 1400, HardDisk: 1TB, Monitor: 17])
38,1,0.6229508196721312,BoulwareNegotiationParty@6,(Offer  bid:Bid[price: 1200, HardDisk: 1TB, Monitor: 15])
38,2,0.6229508196721312,RandomParty2@7,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 17])
39,1,0.639344262295082,BoulwareNegotiationParty@6,(Offer  bid:Bid[price: 1200, HardDisk: 1TB, Monitor: 15])
39,2,0.639344262295082,RandomParty2@7,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
40,1,0.6557377049180327,BoulwareNegotiationParty@6,(Accept  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
agreement,Bid[price: 1000, HardDisk: 1TB, Monitor: 15],1.0,0.1994795836592631
